arm,sampler,replay,step_density,regime,c,gamma,N,seed,price,ci95,std,bangbang,cpu_train,t_total,wall_s
A1,arqmc,uniform,1.0,g2,0.04,2.0,4096,20,1.95852,0.019286,2.519038,0.186789,48.5816,59.8523,59.94843912124634
A1,arqmc,uniform,1.0,g2,0.04,2.0,4096,21,1.967419,0.01916,2.502545,0.167846,48.3879,59.4805,59.50173020362854
A1,arqmc,uniform,1.0,g2,0.04,2.0,4096,22,1.960166,0.01909,2.493416,0.170598,48.5221,59.2893,59.309895038604736
A2,mc,time,2.0,g2,0.04,2.0,4096,11,1.985771,0.01914,2.499892,0.146752,58.5797,71.3896,71.41628122329712
A2,mc,time,2.0,g2,0.04,2.0,4096,12,1.967572,0.018635,2.433939,0.14036,58.6344,71.5091,71.52675890922546
A2,mc,time,2.0,g2,0.04,2.0,4096,13,1.984331,0.019087,2.493042,0.144552,58.124,70.5516,70.5716061592102
A2,mc,time,2.0,g2,0.04,2.0,4096,14,1.971878,0.018912,2.470174,0.154338,58.3353,70.7257,70.74602794647217
A2,mc,time,2.0,g2,0.04,2.0,4096,15,1.974282,0.018961,2.476505,0.15765,58.829,70.8544,70.87801790237427
A2,mc,time,2.0,g2,0.04,2.0,4096,16,1.972195,0.018906,2.469336,0.15243,58.9186,71.2444,71.2656021118164
A2,mc,time,2.0,g2,0.04,2.0,4096,17,1.98525,0.018969,2.477526,0.154731,58.8493,71.6127,71.63247203826904
A2,mc,time,2.0,g2,0.04,2.0,4096,18,1.973957,0.018973,2.478158,0.16538,58.865,71.1904,71.21024084091187
A2,mc,time,2.0,g2,0.04,2.0,4096,19,1.993363,0.019034,2.48606,0.138724,58.3196,68.4292,68.46592831611633
A2,mc,time,2.0,g2,0.04,2.0,4096,20,1.972477,0.01895,2.475044,0.138548,58.5119,68.5963,68.61955976486206
A2,mc,time,2.0,g2,0.04,2.0,4096,21,1.978488,0.018864,2.46389,0.133883,58.3199,67.9674,67.98852109909058
A2,mc,time,2.0,g2,0.04,2.0,4096,22,1.976049,0.018945,2.474463,0.136119,58.7641,69.283,69.30536794662476
