=== Top 100 by cumulative time ===
Wed Dec  3 13:06:09 2025    runv26.prof

         2594633961 function calls (2277966005 primitive calls) in 1657.263 seconds

   Ordered by: cumulative time
   List reduced from 15468 to 100 due to restriction <100>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
143949588    8.544    0.000    8.544    0.000 {function _ParameterMeta.__instancecheck__ at 0x10f55ccc0}
   165312    8.535    0.000  226.664    0.001 replay_buffer.py:417(sample)
  3427226    8.126    0.000   13.204    0.000 swing_env.py:240(_get_observation)
 10145360    7.837    0.000   41.905    0.000 fromnumeric.py:2241(clip)
  1324150    7.583    0.000    7.583    0.000 {method 'mean' of 'torch._C.TensorBase' objects}
  3271578    7.464    0.000   17.441    0.000 _shape_base_impl.py:511(expand_dims)
 86270636    7.211    0.000    9.261    0.000 {method 'add' of 'set' objects}
  3306240    6.950    0.000    6.950    0.000 {method 'sqrt' of 'torch._C.TensorBase' objects}
   661248    6.861    0.000    9.478    0.000 adam.py:138(_init_group)
  3271578    6.847    0.000   24.862    0.000 swing_env.py:210(_get_feasible_action)
   330624    6.701    0.000   46.085    0.000 agent.py:453(soft_update)
        1    6.378    6.378 1643.682 1643.682 run.py:1172(run_training)
  1871110    6.311    0.000    6.311    0.000 {method 'acquire' of '_thread.lock' objects}
 12498024    6.224    0.000   10.080    0.000 grad_mode.py:184(__init__)
 10476115    6.176    0.000  150.970    0.000 fromnumeric.py:51(_wrapfunc)
 94305093    6.161    0.000    6.161    0.000 {method 'items' of 'dict' objects}
   330624    5.515    0.000    5.515    0.000 {built-in method torch._foreach_norm}
      421    5.375    0.013    5.388    0.013 _linalg.py:2394(lstsq)
  1416768    5.294    0.000    8.837    0.000 summary.py:354(scalar)
  3603856    5.253    0.000    5.253    0.000 {built-in method torch.tanh}
  4844719    5.097    0.000    5.097    0.000 {built-in method numpy.array}
  4263450    4.736    0.000    4.736    0.000 {built-in method torch.from_numpy}
   348623    4.724    0.000  789.780    0.002 agent.py:292(step)
  4098138    4.705    0.000    4.705    0.000 {method 'float' of 'torch._C.TensorBase' objects}
  3306240    4.662    0.000    4.662    0.000 {method 'addcdiv_' of 'torch._C.TensorBase' objects}
  3306240    4.512    0.000    4.512    0.000 {method 'lerp_' of 'torch._C.TensorBase' objects}
   661248    4.423    0.000    4.423    0.000 {built-in method torch._ops.profiler._record_function_enter_new}
  3306240    4.373    0.000    4.373    0.000 {method 'addcmul_' of 'torch._C.TensorBase' objects}
  3436890    4.212    0.000    4.212    0.000 {method 'numpy' of 'torch._C.TensorBase' objects}
  5918419    4.084    0.000    4.556    0.000 grad_mode.py:75(__init__)
  3271582    4.074    0.000   10.279    0.000 fromnumeric.py:41(_wrapit)
  3271588    3.950    0.000    5.972    0.000 numeric.py:1386(normalize_axis_tuple)
  8202892    3.895    0.000   19.274    0.000 functional.py:1702(relu)
  5918388    3.895    0.000    9.239    0.000 grad_mode.py:80(__enter__)
  3271579    3.851    0.000    4.571    0.000 swing_contract.py:60(discount_factor)
   330624    3.788    0.000   16.827    0.000 optimizer.py:968(zero_grad)
  8202892    3.659    0.000    5.028    0.000 container.py:235(__iter__)
   497590    3.656    0.000   65.896    0.000 networks.py:341(forward)
 23143826    3.649    0.000    5.187    0.000 _tensor.py:1199(__hash__)
  8202892    3.578    0.000   22.852    0.000 activation.py:134(forward)
  5918388    3.315    0.000    8.211    0.000 grad_mode.py:84(__exit__)
   497590    3.278    0.000    3.278    0.000 {built-in method torch.cat}
4628736/1322496    3.267    0.000   10.685    0.000 _pytree.py:1306(tree_iter)
991872/330624    3.260    0.000   57.650    0.000 clip_grad.py:34(_no_grad_wrapper)
  8892266    3.257    0.000    3.257    0.000 {method 'to' of 'torch._C.TensorBase' objects}
 10910614    3.048    0.000   43.771    0.000 module.py:2639(parameters)
  3306240    2.983    0.000    5.774    0.000 optimizer.py:90(_get_value)
   330624    2.936    0.000   13.261    0.000 clip_grad.py:113(_clip_grads_with_norm_)
 10145360    2.815    0.000   21.672    0.000 {method 'clip' of 'numpy.ndarray' objects}
   407601    2.765    0.000    2.765    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   330624    2.755    0.000    4.024    0.000 __init__.py:89(_make_grads)
  3271578    2.657    0.000    3.209    0.000 swing_env.py:39(calculate_standardized_reward)
 12498024    2.648    0.000    2.648    0.000 {built-in method torch._C._set_grad_enabled}
  4961014    2.648    0.000    2.648    0.000 {method 'item' of 'torch._C.TensorBase' objects}
18345705/18345113    2.625    0.000    2.662    0.000 {built-in method builtins.getattr}
 10910636    2.537    0.000    3.222    0.000 module.py:2689(<lambda>)
  1416787    2.533    0.000   12.312    0.000 queue.py:122(put)
   330624    2.463    0.000   97.855    0.000 adam.py:213(step)
   330624    2.396    0.000    2.396    0.000 {built-in method torch._foreach_mul_}
  4629892    2.365    0.000    4.059    0.000 _pytree.py:679(is_namedtuple_class)
  8265600    2.326    0.000    2.862    0.000 __init__.py:390(is_compiling)
   330624    2.321    0.000  113.016    0.000 optimizer.py:486(wrapper)



=== Heavy callers (top 40 cumulative) ===
   Ordered by: cumulative time
   List reduced from 15468 to 40 due to restriction <40>

Function                                                   was called by...
                                                               ncalls  tottime  cumtime
{built-in method builtins.exec}                            <- 2862/20    0.012    5.371  <frozen importlib._bootstrap>:233(_call_with_frames_removed)
                                                                    1    0.000    0.001  <frozen importlib._bootstrap>:975(exec_module)
                                                                   15    0.002    0.002  _bunch.py:32(_make_tuple_bunch)
                                                                   34    0.000    0.000  _distn_infrastructure.py:1(<module>)
                                                                  132    0.010    0.010  _distn_infrastructure.py:726(_attach_argparser_methods)
                                                                    7    0.000    0.000  _nonlin.py:1553(_nonlin_wrapper)
                                                                    7    0.001    0.001  ctx_mp_python.py:279(binary_op)
                                                                 1967    0.091    0.091  dataclasses.py:413(_create_fn)
                                                                    5    0.000    0.000  decorator.py:144(make)
                                                                    1    0.000    0.000  six.py:1(<module>)
run.py:1(<module>)                                         <-       1    0.001 1657.269  {built-in method builtins.exec}
run.py:1353(main)                                          <-       1    0.012 1652.967  run.py:1(<module>)
run.py:1172(run_training)                                  <-       1    6.378 1643.682  run.py:1353(main)
agent.py:292(step)                                         <-  348623    4.724  789.780  run.py:1172(run_training)
run.py:846(evaluate_swing_option)                          <-      17   17.307  725.744  run.py:1172(run_training)
agent.py:274(act)                                          <- 2922955   13.091  550.923  run.py:846(evaluate_swing_option)
                                                               348623    6.317   98.733  run.py:1172(run_training)
agent.py:315(learn_)                                       <-  165312   12.574  497.552  agent.py:292(step)
module.py:2855(train)                                      <- 3271578    4.755  190.905  agent.py:274(act)
                                                            65431560/13086312   58.803  335.671  module.py:2855(train)
                                                              3271578    4.961  193.092  module.py:2877(eval)
module.py:1767(_wrapped_call_impl)                         <- 3271578    2.031  205.493  agent.py:274(act)
                                                               829868    0.683  119.314  agent.py:315(learn_)
                                                             24608676   12.635  220.138  container.py:243(forward)
                                                             10811568    5.240  223.990  networks.py:210(forward)
                                                              1492770    0.877   57.123  networks.py:341(forward)
module.py:1775(_call_impl)                                 <- 41014460/4101446   36.818  322.093  module.py:1767(_wrapped_call_impl)
networks.py:210(forward)                                   <- 3603856   13.298  249.349  module.py:1775(_call_impl)
container.py:243(forward)                                  <- 8202892   14.077  239.243  module.py:1775(_call_impl)
replay_buffer.py:417(sample)                               <-  165312    8.535  226.664  agent.py:292(step)
