Configuration,c,gamma,LSM_full,LSM_full_CI95,RL_seed11,RL_seed12,RL_seed13,RL_mean,RL_std,RL_best,RL_best_seed,PctDiff_mean,PctDiff_best,PctDiff_CI95,RL_BangBangness_mean,LSM_BangBangness
SwingOption_20_c0.04_gamma3_v64_4k,0.04,3.0,1.791712076562641,0.01824478360347548,1.8126825733764842,1.812165647929732,1.8117497119036405,1.8121993110699524,0.00046734092174357064,1.8126825733764842,11,1.1434445732271652,1.170416669517266,0.02951624005792586,0.017119544481881663,0.03283467244349157
SwingOption_20_c0.05_gamma1_v64_4k,0.05,1.0,2.1391889196319616,0.019897471466307826,2.1354397921601254,2.135430948923092,2.1354662441997982,2.1354456617610054,1.836513817831182e-05,2.1354662441997982,13,-0.17498491304826913,-0.17402275217486562,0.0009714948526679618,0.6633698225148327,0.9999560213108163
SwingOption_20_c0.05_gamma1.5_v64_4k,0.05,1.5,1.9868887732159424,0.019327307570995877,1.987566028761188,1.9861631260499408,1.9864517979328404,1.9867269842479898,0.000740830368802667,1.987566028761188,11,-0.008142829640671546,0.03408623343064524,0.04219302522068977,0.3047741509916528,0.4094793222070995
SwingOption_20_c0.05_gamma2_v64_4k,0.05,2.0,1.8540567457084656,0.01873313405849808,1.8568057041416135,1.8558436231283673,1.857694856855817,1.8567813947085992,0.0009258562468395947,1.857694856855817,13,0.14695607383324452,0.1962243688480619,0.0565087867444628,0.10797908502296268,0.1676023541786299
SwingOption_20_c0.05_gamma3_v64_4k,0.05,3.0,1.6748848388857966,0.017676571585487744,1.7002548547907539,1.7008086712739936,1.700913716204107,1.700659080756285,0.0003539881110188668,1.700913716204107,13,1.5388665102273162,1.5540696717767104,0.023916585058609306,0.010826039611615266,0.020815947346045444
SwingOption_20_c0.08_gamma1_v64_4k,0.08,1.0,1.8631736681043618,0.01883349884690333,1.8579592264488496,1.857886649791127,1.860288211860326,1.8587113627001006,0.001366073496700807,1.860288211860326,13,-0.23950023986766825,-0.15486780934230593,0.08296906040094056,0.6827983793448894,0.999937041804242
SwingOption_20_c0.08_gamma1.5_v64_4k,0.08,1.5,1.6665771055158487,0.018100894972626236,1.6705161734238172,1.6708120849782657,1.6707594329954476,1.67069589713251,0.00015785599900997851,1.6708120849782657,12,0.24714077752715358,0.2541124229056408,0.010718428707027125,0.19847560431786207,0.2976463821775683
SwingOption_20_c0.08_gamma2_v64_4k,0.08,2.0,1.5332280821853557,0.017185267114839475,1.5460041632167885,1.5455698010819696,1.5451347266982554,1.545569563665671,0.0004347183078898522,1.5460041632167885,11,0.8049344793323019,0.8332798740043077,0.032084598540570185,0.04996300378598086,0.08888963276631277
SwingOption_20_c0.10_gamma1_v64_4k,0.1,1.0,1.694936805192018,0.018140996256285624,1.6912986506744423,1.6911152428183034,1.6917340075216643,1.69138263367147,0.0003178164523331482,1.6917340075216643,13,-0.2096934534468024,-0.18896265987868818,0.021218677353686287,0.6773097098394031,0.9999395914114089
SwingOption_20_c0.10_gamma1.5_v64_4k,0.1,1.5,1.482499354082136,0.017352528055367022,1.4900262984775874,1.4895565824526051,1.4896305404162133,1.4897378071154685,0.00025256265481682464,1.4900262984775874,11,0.48826011380045725,0.5077199106175325,0.019278359078854373,0.1621354643353324,0.24711262279183507
SwingOption_20_c0.10_gamma2_v64_4k,0.1,2.0,1.3606302581762686,0.016186602196266664,1.3785878015120236,1.3778023213894834,1.3784320469243987,1.3782740566086353,0.0004158911644080881,1.3785878015120236,11,1.296737179431519,1.3197959715980878,0.03458876161191766,0.03257702465945241,0.06318425841933809
SwingOption_20_c0.15_gamma1_v64_4k,0.15,1.0,1.3294860323283937,0.016913151591331665,1.3273210764688514,1.326841504196905,1.3271502295104975,1.3271042700587514,0.0002430670574318223,1.3273210764688514,11,-0.17914910060927575,-0.16284156485274587,0.020688917532701755,0.7237939469913437,0.999893177775404
SwingOption_20_c0.15_gamma1.5_v64_4k,0.15,1.5,1.108229810995475,0.015450570007941922,1.1219834396628252,1.1217109437961081,1.122229880052287,1.1219747545037402,0.00025957712434934277,1.122229880052287,13,1.2402611238113856,1.2632821205410818,0.026505257792021345,0.09748667459646661,0.16726847138103684
SwingOption_20_c0.15_gamma2_v64_4k,0.15,2.0,1.032111712919547,0.01411020632144011,1.0639276660290422,1.0642865843456824,1.0643711350033556,1.06419512845936,0.0002354555523912833,1.0643711350033556,13,3.108521600734318,3.12557465243331,0.025815329553299637,0.014323345213223185,0.03145024397271515
